Issue Type,URL,Status,Priority,Fixable,Recommendation,Details
Soft 404,https://example.com/thin-page,thin-content,HIGH,Yes,Enhance content to at least 500 words (currently 150 words),"Word count: 150, Has headings: false"
Soft 404,https://example.com/empty-page,empty-page,HIGH,Yes,Add substantial body content or return proper 404 status,"Word count: 50, Has headings: false"
Canonical,https://example.com/page-without-canonical,missing,HIGH,Yes,Add self-referencing canonical tag,"Current: None, Expected: https://example.com/page-without-canonical"
Canonical,https://example.com/duplicate-page,missing,HIGH,Yes,Add canonical tag pointing to original page,"Current: None, Expected: https://example.com/original-page"
Redirect,https://example.com/old-page,301 redirect,HIGH,Yes,Flatten redirect chain (3 redirects). Update sitemap and internal links to point to final destination,"Chain length: 3, Final: https://example.com/new-page"
Redirect,https://example.com/temp-redirect,302 redirect,MEDIUM,Yes,Change to 301 permanent redirect. Update sitemap and internal links to point to final destination,"Chain length: 2, Final: https://example.com/destination"
Noindex,https://example.com/valuable-page,meta-tag,CRITICAL,Yes,Remove noindex tag - page has valuable content,Should be indexed: true
Noindex,https://example.com/admin-page,"meta-tag, http-header",LOW,No,Keep noindex or improve content quality,Should be indexed: false
Duplicate,https://example.com/page?sort=asc,Duplicate content,MEDIUM,Yes,Add canonical tag pointing to https://example.com/page,"Duplicate of: https://example.com/page, Similarity: 95.0%"
404 Not Found,https://example.com/deleted-page,404,CRITICAL,Yes,Implement 301 redirect to most relevant existing page,"Has backlinks: true, Internal links: 3"
404 Not Found,https://example.com/never-existed,404,MEDIUM,Yes,Ensure it returns proper 404 status and is removed from sitemaps,"Has backlinks: false, Internal links: 0"
Invalid Schema,https://example.com/business-page,LocalBusiness,CRITICAL,Yes,Fix schema errors,telephone: Missing required field; address: Invalid format
Invalid Schema,https://example.com/faq-page,FAQPage,CRITICAL,Yes,Fix schema errors,acceptedAnswer: Missing required property
Crawled Not Indexed,https://example.com/crawled-page,thin-content,MEDIUM,Yes,"Enhance content to at least 500 words of unique, valuable information",
Discovered Not Indexed,https://example.com/discovered-page,not-in-sitemap,LOW,Yes,Add to sitemap and improve internal linking,
